original,seasonal,trend
0.014208734966814518,-0.5206549167633057,0.5348636507987976
-0.18837128579616547,-0.7175165414810181,0.5291452407836914
0.2944444417953491,-0.23108118772506714,0.5255256295204163
0.35521847009658813,-0.1755693554878235,0.5307878255844116
0.193154439330101,-0.34827953577041626,0.5414339900016785
0.3383367657661438,-0.214959979057312,0.5532967448234558
0.027714064344763756,-0.5335825085639954,0.5612965822219849
0.28431543707847595,-0.28665390610694885,0.5709693431854248
0.5713038444519043,-0.004167318344116211,0.5754711627960205
0.25055211782455444,-0.3269265294075012,0.5774786472320557
0.2336704432964325,-0.3418310582637787,0.5755015015602112
0.28093913197517395,-0.2924939692020416,0.5734331011772156
0.25392845273017883,-0.31996098160743713,0.573889434337616
0.2910681366920471,-0.28993892669677734,0.5810070633888245
0.193154439330101,-0.391046404838562,0.5842008590698242
0.15263843536376953,-0.4343305230140686,0.5869689583778381
0.13913309574127197,-0.4537368416786194,0.5928699374198914
-0.25927430391311646,-0.8562201261520386,0.5969458222389221
-0.036436278373003006,-0.639191746711731,0.6027554869651794
-0.15460793673992157,-0.7598881721496582,0.6052802205085754
-0.4415963590145111,-1.041249394416809,0.5996530055999756
-0.4145856201648712,-1.0133260488510132,0.5987403988838196
-0.42133834958076477,-1.0182536840438843,0.5969153642654419
-0.8028640747070312,-1.3947300910949707,0.5918660759925842
-0.8535090684890747,-1.4380141496658325,0.5845050811767578
-1.1404973268508911,-1.7166376113891602,0.5761403441429138
-1.106734037399292,-1.6813838481903076,0.5746497511863708
-1.2350349426269531,-1.8021717071533203,0.5671367645263672
-1.0864760875701904,-1.6478638648986816,0.561387836933136
-1.0966050624847412,-1.6482594013214111,0.5516542792320251
-1.1337448358535767,-1.6742055416107178,0.5404606461524963
-1.0864760875701904,-1.6151347160339355,0.5286586284637451
-1.1472500562667847,-1.6596049070358276,0.512354850769043
-1.0493364334106445,-1.5358972549438477,0.4865608811378479
-1.0560890436172485,-1.5163084268569946,0.4602193832397461
-1.0527127981185913,-1.4926437139511108,0.4399309456348419
-0.7387136816978455,-1.1600291728973389,0.4213154911994934
-0.9649280309677124,-1.3671413660049438,0.40221336483955383
-0.3774459660053253,-0.7624126672744751,0.38496673107147217
-0.06344695389270782,-0.432961642742157,0.36951470375061035
0.054724741727113724,-0.3077026605606079,0.36242741346359253
0.010832412168383598,-0.34508568048477173,0.3559180796146393
0.2606810927391052,-0.08942729234695435,0.35010838508605957
0.4430031180381775,0.09338143467903137,0.3496216833591461
0.45313215255737305,0.10107707977294922,0.35205507278442383
0.5476694703102112,0.19524937868118286,0.3524200916290283
0.5713038444519043,0.22423717379570007,0.3470666706562042
0.6860992312431335,0.34368643164634705,0.3424127995967865
0.8110235333442688,0.47463345527648926,0.33639007806777954
0.9291952252388,0.6025387048721313,0.3266565501689911
0.7637548446655273,0.4385887682437897,0.32516607642173767
0.8616685271263123,0.5449888706207275,0.31667962670326233
0.7873892188072205,0.4734775424003601,0.31391167640686035
0.5409168601036072,0.2322065830230713,0.3087102770805359
-1.63006591796875,-1.9355823993682861,0.30551642179489136
0.7468731999397278,0.4498128294944763,0.29706037044525146
0.8245288729667664,0.5345557332038879,0.2899731397628784
0.9190662503242493,0.6375187635421753,0.28154751658439636
1.705751895904541,1.4392913579940796,0.26646050810813904
1.8813213109970093,1.6268757581710815,0.25444555282592773
